,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_random_state,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0012486577033996582,0.0004317768819083126,0.0007495880126953125,0.00043277484091095526,gini,0,best,"{'criterion': 'gini', 'random_state': 0, 'splitter': 'best'}",0.9666666666666667,0.9333333333333333,0.9333333333333333,1.0,0.9583333333333333,0.02763853991962833,7
1,0.0009993910789489746,1.0323827311807139e-07,0.0,0.0,gini,0,random,"{'criterion': 'gini', 'random_state': 0, 'splitter': 'random'}",0.9333333333333333,0.9333333333333333,0.9,1.0,0.9416666666666667,0.036324157862838935,18
2,0.0010004043579101562,1.6518123698891422e-06,0.0,0.0,gini,1,best,"{'criterion': 'gini', 'random_state': 1, 'splitter': 'best'}",0.9666666666666667,0.9333333333333333,0.9,1.0,0.95,0.03726779962499649,12
3,0.0009995102882385254,1.0323827311807139e-07,0.0,0.0,gini,1,random,"{'criterion': 'gini', 'random_state': 1, 'splitter': 'random'}",0.9666666666666667,0.9,0.9333333333333333,0.9666666666666667,0.9416666666666667,0.027638539919628325,18
4,0.0009986162185668945,1.3113021850585938e-06,0.0009993910789489746,1.97686242482388e-07,gini,2,best,"{'criterion': 'gini', 'random_state': 2, 'splitter': 'best'}",1.0,0.9333333333333333,0.9333333333333333,1.0,0.9666666666666667,0.033333333333333326,1
5,0.0009992718696594238,1.97686242482388e-07,0.0002498626708984375,0.00043277484091095526,gini,2,random,"{'criterion': 'gini', 'random_state': 2, 'splitter': 'random'}",0.9333333333333333,0.9333333333333333,0.9333333333333333,1.0,0.95,0.02886751345948128,12
6,0.0009993314743041992,1.1920928955078125e-07,0.0007503628730773926,0.00043322451387767713,gini,3,best,"{'criterion': 'gini', 'random_state': 3, 'splitter': 'best'}",0.9666666666666667,0.9333333333333333,0.9333333333333333,0.9666666666666667,0.95,0.016666666666666663,12
7,0.0009993910789489746,1.0323827311807139e-07,0.0004996657371520996,0.0004996657442622802,gini,3,random,"{'criterion': 'gini', 'random_state': 3, 'splitter': 'random'}",0.9333333333333333,0.9,0.9666666666666667,1.0,0.9500000000000001,0.03726779962499649,9
8,0.0007494688034057617,0.0004327060263428177,0.0004996657371520996,0.0004996657442622802,gini,4,best,"{'criterion': 'gini', 'random_state': 4, 'splitter': 'best'}",0.9666666666666667,0.9666666666666667,0.9333333333333333,1.0,0.9666666666666667,0.02357022603955158,1
9,0.0012494325637817383,0.00043270615771008966,0.0007493495941162109,0.00043263726652323733,gini,4,random,"{'criterion': 'gini', 'random_state': 4, 'splitter': 'random'}",0.9333333333333333,1.0,0.9,0.9666666666666667,0.9500000000000001,0.03726779962499649,9
10,0.0009992718696594238,1.97686242482388e-07,0.0,0.0,entropy,0,best,"{'criterion': 'entropy', 'random_state': 0, 'splitter': 'best'}",0.9666666666666667,0.9333333333333333,0.9333333333333333,1.0,0.9583333333333333,0.02763853991962833,7
11,0.000999152660369873,5.430241572346866e-07,0.0,0.0,entropy,0,random,"{'criterion': 'entropy', 'random_state': 0, 'splitter': 'random'}",1.0,0.9333333333333333,0.9,1.0,0.9583333333333334,0.04330127018922192,5
12,0.0012492537498474121,0.0004328092646133245,0.0004996061325073242,0.0004996061609514392,entropy,1,best,"{'criterion': 'entropy', 'random_state': 1, 'splitter': 'best'}",0.9666666666666667,0.9333333333333333,0.9,1.0,0.95,0.03726779962499649,12
13,0.0014990568161010742,0.0004996061609514392,0.0002491474151611328,0.00043153598163353843,entropy,1,random,"{'criterion': 'entropy', 'random_state': 1, 'splitter': 'random'}",0.9666666666666667,0.9,0.9333333333333333,1.0,0.95,0.03726779962499649,12
14,0.0012492537498474121,0.0004328092646133245,0.0,0.0,entropy,2,best,"{'criterion': 'entropy', 'random_state': 2, 'splitter': 'best'}",1.0,0.9333333333333333,0.9333333333333333,1.0,0.9666666666666667,0.033333333333333326,1
15,0.0010001063346862793,1.5577238017764067e-06,0.0007495880126953125,0.0004327748737475549,entropy,2,random,"{'criterion': 'entropy', 'random_state': 2, 'splitter': 'random'}",0.9,0.8666666666666667,0.9333333333333333,1.0,0.925,0.04930066485916346,20
16,0.0014989972114562988,0.0004997849535501351,0.0002497434616088867,0.00043256836436471915,entropy,3,best,"{'criterion': 'entropy', 'random_state': 3, 'splitter': 'best'}",0.9666666666666667,0.9333333333333333,0.9333333333333333,0.9666666666666667,0.95,0.016666666666666663,12
17,0.0007497072219848633,0.00043284374303291295,0.0002498626708984375,0.00043277484091095526,entropy,3,random,"{'criterion': 'entropy', 'random_state': 3, 'splitter': 'random'}",0.9333333333333333,0.9,0.9666666666666667,1.0,0.9500000000000001,0.03726779962499649,9
18,0.0009993910789489746,1.0323827311807139e-07,0.0009993910789489746,1.97686242482388e-07,entropy,4,best,"{'criterion': 'entropy', 'random_state': 4, 'splitter': 'best'}",0.9666666666666667,0.9666666666666667,0.9333333333333333,1.0,0.9666666666666667,0.02357022603955158,1
19,0.0012484192848205566,0.000433154442033331,0.0,0.0,entropy,4,random,"{'criterion': 'entropy', 'random_state': 4, 'splitter': 'random'}",0.9333333333333333,1.0,0.9,1.0,0.9583333333333334,0.04330127018922192,5
